"[-1.02550113 -1.02284959 -1.02055275 -1.01864871 -1.01696944 -1.01531008
 -1.01353732 -1.01163694 -1.00970041 -1.00785064 -1.00610688]","[7.51577663 7.59573264 7.67569957 7.75567685 7.83565921 7.915642
 7.99562235 8.07559977 8.15557632 8.23555493 8.31553592]"
"[-1.01903892 -1.01657892 -1.01449103 -1.01265557 -1.01092921 -1.0091965
 -1.00739869 -1.00553973 -1.00366967 -1.00184512 -1.00006715]","[7.52712297 7.60708506 7.68705775 7.76703668 7.84701805 7.92699928
 8.00697907 8.08695747 8.16693561 8.2469148  8.32689504]"
"[-1.02715015 -1.02461042 -1.02246405 -1.02060789 -1.01888561 -1.01716059
 -1.01535887 -1.01348187 -1.01158921 -1.00975132 -1.00797212]","[7.52045441 7.600414   7.68038513 7.76036357 7.84034503 7.92032643
 8.00030613 8.08028411 8.16026172 8.2402406  8.32022081]"
"[-1.02736199 -1.02479326 -1.02263724 -1.02078133 -1.01906238 -1.01733982
 -1.01553825 -1.01365972 -1.01176547 -1.00992745 -1.00814924]","[7.5145731  7.59453175 7.67450262 7.75448106 7.83446259 7.91444404
 7.99442375 8.07440169 8.15437926 8.23435814 8.31433838]"
"[-1.02711844 -1.02452885 -1.02236547 -1.02051004 -1.01879448 -1.01707485
 -1.0152743  -1.01339515 -1.01150013 -1.0096626  -1.00788604]","[7.50388145 7.58383943 7.6638101  7.74378855 7.82377015 7.90375166
 7.98373139 8.06370932 8.14368687 8.22366576 8.30364603]"
"[-1.02553546 -1.02300906 -1.02088486 -1.01903689 -1.01730956 -1.01557595
 -1.01377083 -1.01189808 -1.01001273 -1.00817753 -1.00639409]","[7.57120275 7.65116276 7.73113448 7.81111312 7.89109446 7.97107568
 8.05105531 8.13103338 8.21101116 8.29099011 8.37097023]"
"[-1.02243209 -1.01993222 -1.01781768 -1.01597222 -1.01424584 -1.01251421
 -1.01071259 -1.00884415 -1.00696289 -1.00513093 -1.00335036]","[7.5912571  7.67121794 7.75118993 7.83116862 7.91114999 7.99113124
 8.07111095 8.15108913 8.23106701 8.31104603 8.39102621]"
"[-1.0278883  -1.02536683 -1.0232325  -1.02137527 -1.01964306 -1.01790674
 -1.01609783 -1.01421871 -1.01232555 -1.01048384 -1.00869651]","[7.65678406 7.73674423 7.81671569 7.8966941  7.97667535 8.0566565
 8.13663604 8.21661397 8.29659157 8.37657036 8.4565504 ]"
"[-1.02457619 -1.02213766 -1.020052   -1.01820389 -1.01645779 -1.01470541
 -1.01289195 -1.01102135 -1.00914045 -1.00730213 -1.00550734]","[7.77413273 7.85409548 7.93406824 8.01404687 8.09402781 8.17400862
 8.25398806 8.33396619 8.41394407 8.49392295 8.57390281]"
"[-1.01353121 -1.01118204 -1.00914338 -1.00731097 -1.00556614 -1.00381532
 -1.00201169 -1.00015904 -0.99829779 -0.9964732  -0.99468581]","[7.83039665 7.91036209 7.99033608 8.07031508 8.15029605 8.23027688
 8.31025655 8.39023509 8.47021344 8.55019263 8.63017266]"
"[-1.02560747 -1.02329143 -1.02125346 -1.01940275 -1.01763252 -1.01585738
 -1.0140341  -1.01216575 -1.01028924 -1.00844627 -1.0066377 ]","[7.93766737 8.01763379 8.0976078  8.17758638 8.25756679 8.33754709
 8.41752631 8.49750449 8.57748248 8.65746125 8.73744081]"
"[-1.01928747 -1.01704775 -1.01504778 -1.01320487 -1.01142789 -1.00964594
 -1.00782398 -1.00596515 -1.0041     -1.00226251 -1.00045292]","[8.07165432 8.15162292 8.2315979  8.31157666 8.39155693 8.47153708
 8.55151633 8.63149473 8.71147299 8.79145188 8.87143141]"
"[-1.0098635  -1.00775178 -1.00581882 -1.00399095 -1.00220269 -1.00040868
 -0.99858889 -0.99674709 -0.9949026  -0.99307529 -0.99126393]","[8.22498894 8.30496104 8.38493767 8.46491679 8.5448968  8.62487668
 8.70485598 8.78483478 8.86481351 8.94479264 9.02477213]"
"[-1.03052902 -1.02840462 -1.02643627 -1.02457315 -1.02275534 -1.02093484
 -1.01908731 -1.0172144  -1.01533684 -1.0134781  -1.0116388 ]","[8.33619118 8.41616295 8.49613872 8.57611702 8.65609637 8.73607565
 8.81605432 8.89603239 8.97601036 9.05598876 9.13596762]"
"[-1.01237583 -1.01034097 -1.00842794 -1.00658898 -1.00477897 -1.00296548
 -1.00113361 -0.99928562 -0.99743535 -0.99559748 -0.99377151]","[8.48199558 8.56196969 8.64194681 8.72192567 8.80190519 8.88188464
 8.96186366 9.04184231 9.12182092 9.2017998  9.28177896]"
"[-1.01917243 -1.0171556  -1.0152396  -1.01338887 -1.01156525 -1.00973944
 -1.00789708 -1.00603957 -1.0041795  -1.00233081 -1.00049359]","[8.54200077 8.62197534 8.70195239 8.78193098 8.86191019 8.94188935
 9.02186814 9.10184657 9.18182494 9.26180358 9.34178248]"
"[-1.00753117 -1.00560227 -1.00373666 -1.00190218 -1.00007691 -0.99824857
 -0.99641316 -0.99457271 -0.99273233 -0.9908963  -0.98906346]","[8.68687153 8.76684827 8.84682651 8.92680548 9.00678465 9.08676376
 9.1667427  9.24672153 9.32670036 9.40667929 9.48665829]"
"[-1.00221312 -1.00030024 -0.99843554 -0.99660111 -0.99477892 -0.99295553
 -0.99112455 -0.98928674 -0.98744785 -0.98561414 -0.98378554]","[8.81522274 8.89519987 8.97517813 9.0551571  9.13513634 9.21511556
 9.29509461 9.3750735  9.45505236 9.53503134 9.61501044]"
"[-1.00338733 -1.0015165  -0.99967058 -0.99783377 -0.99599807 -0.99416063
 -0.99232146 -0.99048175 -0.9886426  -0.98680427 -0.98496591]","[8.95630646 9.03628458 9.11626328 9.19624219 9.27622113 9.35620003
 9.43617888 9.51615773 9.59613659 9.67611546 9.75609434]"
"[-1.00135732 -0.9994495  -0.99757572 -0.995731   -0.99390103 -0.99207155
 -0.99023413 -0.98838839 -0.98654057 -0.98469856 -0.98286333]","[9.10514069 9.18511793 9.26509599 9.34507472 9.42505379 9.50503287
 9.58501176 9.66499047 9.74496913 9.82494792 9.90492687]"
"[-0.99682498 -0.99492914 -0.99306641 -0.99122624 -0.9893959  -0.98756504
 -0.98572838 -0.98388622 -0.98204301 -0.98020385 -0.97836894]","[ 9.23192596  9.3119035   9.39188181  9.47186064  9.5518397   9.63181875
  9.71179767  9.79177645  9.87175522  9.95173408 10.03171303]"
"[-1.00348175 -1.00159104 -0.99972595 -0.99787628 -0.99603258 -0.99418814
 -0.99233989 -0.99048832 -0.98863628 -0.9867868  -0.98493977]","[ 9.29693127  9.37690892  9.45688718  9.53686579  9.61684455  9.69682328
  9.77680193  9.8567805   9.93675906 10.01673768 10.09671636]"
"[-1.01749873 -1.01564043 -1.01378082 -1.01191001 -1.0100306  -1.00814942
 -1.00627193 -1.00439936 -1.0025286  -1.00065478 -0.99877655]","[ 9.53969288  9.61967129  9.69964968  9.7796278   9.85960572  9.9395836
 10.01956157 10.09953965 10.17951778 10.25949583 10.33947378]"
"[-1.02324784 -1.0213736  -1.01949302 -1.01760732 -1.01571913 -1.01383089
 -1.01194403 -1.01005858 -1.00817347 -1.00628736 -1.00440011]","[ 9.65687752  9.73685556  9.81683346  9.89681123  9.97678894 10.05676666
 10.1367444  10.21672218 10.29669997 10.37667774 10.45665547]"
"[-1.03221703 -1.0303747  -1.02850362 -1.02660324 -1.02468661 -1.02276872
 -1.02085911 -1.01895871 -1.0170609  -1.01515686 -1.01324511]","[ 9.89928341  9.97926219 10.05924031 10.13921774 10.21919477 10.29917178
 10.37914899 10.45912641 10.5391039  10.61908124 10.6990584 ]"
"[-1.0222249  -1.02038534 -1.01851499 -1.0166231  -1.01472163 -1.01282053
 -1.010925   -1.00903483 -1.00714576 -1.00525279 -1.0033556 ]","[ 9.93648338 10.01646223 10.09644036 10.17641799 10.25639539 10.3363728
 10.41635034 10.49632801 10.57630571 10.65628331 10.73626081]"
"[-1.0206809  -1.01885402 -1.01699048 -1.01509843 -1.01319269 -1.01128688
 -1.00938866 -1.00749815 -1.00560943 -1.00371526 -1.00181488]","[10.0554018  10.13538094 10.21535923 10.29533686 10.37531416 10.45529145
 10.53526893 10.61524659 10.69522429 10.77520187 10.85517929]"
"[-1.02658057 -1.02477128 -1.02291023 -1.02100664 -1.01908189 -1.01715663
 -1.01524285 -1.013341   -1.01144209 -1.00953485 -1.00761788]","[10.24468994 10.32466948 10.40464783 10.48462518 10.56460202 10.64457885
 10.72455596 10.80453335 10.88451081 10.96448807 11.04446511]"
"[-1.02882063 -1.02701814 -1.02515366 -1.02324169 -1.02130714 -1.01937259
 -1.01745063 -1.01554136 -1.01363501 -1.01171967 -1.00979412]","[10.40373707 10.48371676 10.56369503 10.64367218 10.72364878 10.80362539
 10.8836023  10.96357952 11.0435568  11.12353387 11.20351069]"
"[-1.0177629  -1.01598388 -1.01413542 -1.01223493 -1.01031009 -1.00838543
 -1.00647447 -1.0045772  -1.00268302 -1.0007791  -0.9988642 ]","[10.5143528  10.59433301 10.67431165 10.75428908 10.83426592 10.91424276
 10.99421994 11.07419744 11.15417501 11.23415235 11.31412943]"
"[-1.01669025 -1.01490268 -1.01304631 -1.01114149 -1.00921499 -1.00728922
 -1.00537598 -1.00347489 -1.00157633 -0.999669   -0.99775206]","[10.65348721 10.73346723 10.81344569 10.89342301 10.97339981 11.05337663
 11.13335375 11.21333116 11.29330863 11.37328589 11.45326292]"
"[-0.99726504 -0.99549766 -0.9936633  -0.99178178 -0.98987919 -0.98797729
 -0.9860876  -0.98420972 -0.98233431 -0.98045036 -0.97855706]","[10.73948288 10.81946335 10.89944232 10.97942019 11.05939756 11.13937495
 11.21935263 11.29933059 11.37930861 11.45928642 11.53926402]"
"[-1.00199366 -1.00021907 -0.99837657 -0.99648518 -0.99457155 -0.99265844
 -0.99075805 -0.98887014 -0.98698492 -0.98509075 -0.98318664]","[10.86476517 10.94474548 11.02472426 11.1047019  11.18467901 11.26465613
 11.34463356 11.42461128 11.50458906 11.58456664 11.66454397]"
"[-0.99311858 -0.99136746 -0.98954121 -0.98765856 -0.98574945 -0.98384049
 -0.98194638 -0.98006714 -0.97819128 -0.97630489 -0.97440652]","[11.01280594 11.09278677 11.17276592 11.25274376 11.33272098 11.4126982
 11.49267578 11.57265371 11.65263171 11.73260947 11.81258694]"
"[-0.98234683 -0.9806492  -0.97885566 -0.97698588 -0.9750789  -0.97317135
 -0.97128417 -0.96941792 -0.96755675 -0.96568095 -0.96378807]","[11.17686844 11.25685042 11.33683031 11.41680846 11.49678572 11.57676298
 11.65674072 11.73671895 11.8166973  11.8966753  11.97665291]"
"[-0.98723042 -0.98553581 -0.983733   -0.9818492  -0.97992743 -0.97800591
 -0.97610566 -0.97422673 -0.97235268 -0.97046354 -0.9685572 ]","[11.38124275 11.4612248  11.54120448 11.62118229 11.70115921 11.78113613
 11.86111356 11.94109149 12.02106954 12.10104723 12.18102451]"
"[-1.02427268 -1.02170626 -1.01495252 -1.00234228 -0.9843121  -0.96236958
 -0.93822309 -0.91316527 -0.88763224 -0.8608831  -0.83081347]","[11.8312273  11.91118133 11.99087985 12.06986086 12.14778958 12.22471585
 12.30098332 12.37695751 12.4527732  12.52816568 12.60228268]"
"[-1.0338093  -1.02900193 -1.01563957 -0.99249728 -0.9607292  -0.92258774
 -0.88037577 -0.83582518 -0.78970379 -0.7414846  -0.68909866]","[12.03255272 12.11238171 12.19120696 12.2677329  12.34111577 12.41141706
 12.47936561 12.54580999 12.61117432 12.67500013 12.73541946]"
"[-1.02493358 -1.01901187 -1.00223033 -0.97272508 -0.93081381 -0.87857736
 -0.81894495 -0.75491305 -0.68927459 -0.62489987 -0.56554158]","[12.22161293 12.29418933 12.36699807 12.4373065  12.50244918 12.56090014
 12.61282504 12.65999627 12.70538898 12.75276323 12.80628491]"
"[0.13498509 0.2012121  0.2698973  0.33735427 0.40020886 0.45487414
 0.49822595 0.52883835 0.54758582 0.55711532 0.56077485]","[16.16255379 16.20735329 16.24836092 16.2913353  16.34073472 16.39901209
 16.46611233 16.53991682 16.61762257 16.69702133 16.77692738]"
"[0.25920689 0.32545675 0.3899125  0.44870315 0.49814593 0.53555113
 0.5602196  0.57357538 0.57841769 0.57795702 0.57501901]","[16.15086174 16.19569594 16.2430431  16.29720174 16.35996474 16.43055805
 16.50656696 16.58538831 16.66521568 16.74520621 16.82515097]"
"[0.36697996 0.4335519  0.49404812 0.54469927 0.58346129 0.61048478
 0.62748451 0.63674997 0.64039871 0.63995726 0.63617562]","[16.43365097 16.47796272 16.53018523 16.59196598 16.66183244 16.73705286
 16.81518088 16.89461889 16.97452371 17.05451577 17.13442087]"
"[0.55033064 0.61727623 0.67612716 0.72422263 0.75994916 0.78313035
 0.79498859 0.79786079 0.7949161  0.7900626  0.78817859]","[16.5446167  16.58827637 16.64231321 16.70609916 16.77756064 16.85404026
 16.9330986  17.01301661 17.09295277 17.17280335 17.25275992]"
"[0.65101874 0.71868266 0.77777751 0.82606068 0.86195179 0.88503704
 0.89634084 0.89826442 0.89432276 0.8889567  0.8876817 ]","[16.61679459 16.65928744 16.71304879 16.77669279 16.8480693  16.92457232
 17.00370652 17.08365072 17.16354431 17.24336092 17.32331884]"
"[0.93917823 1.00871804 1.07003205 1.12093158 1.15974471 1.18577963
 1.19966575 1.20341322 1.20022726 1.19430574 1.19090524]","[16.79218674 16.83151939 16.88273247 16.94430404 17.0141331  17.0896784
 17.16839304 17.24826463 17.32818664 17.40796476 17.4878724 ]"
"[1.16563487 1.23615224 1.29868923 1.35105546 1.39152406 1.41925759
 1.43466114 1.43949584 1.43674527 1.43042178 1.4255943 ]","[17.01741219 17.05495875 17.10466996 17.16499906 17.23388113 17.30881695
 17.38724442 17.46705246 17.54698659 17.62673326 17.70657352]"
"[1.39110887 1.46227293 1.52564692 1.57902772 1.62064897 1.64957495
 1.66605055 1.6716459  1.66916352 1.66246017 1.6564532 ]","[17.20434189 17.2406457  17.28928488 17.34871814 17.41690941 17.49139129
 17.56959738 17.64935168 17.7292911  17.80900565 17.88876969]"
"[1.66179585 1.73324332 1.79698636 1.85081646 1.89294893 1.92239698
 1.93931706 1.94516938 1.94264901 1.93551931 1.92860826]","[17.17515755 17.21089936 17.25905362 17.31808024 17.38595654 17.46023253
 17.53834174 17.61807512 17.69801109 17.77768773 17.85738043]"
"[1.82917976 1.90063364 1.96438034 2.01821403 2.06034921 2.08978988
 2.10667381 2.11243713 2.10975097 2.1023574  2.09506325]","[17.2817173  17.31744583 17.36559514 17.42461849 17.49249302 17.56677164
 17.64488815 17.72462735 17.80455733 17.88420964 17.96386862]"
"[2.07845092 2.14963211 2.21301162 2.26639588 2.30801568 2.33689964
 2.35321945 2.35844942 2.35529536 2.34752593 2.33996919]","[17.31863594 17.35490454 17.40353619 17.46296633 17.53115816 17.60565522
 17.68389194 17.76366845 17.84358186 17.92319864 18.00283272]"
"[2.33232212 2.40283452 2.46532676 2.51763189 2.5580212  2.58559872
 2.60065171 2.60479184 2.60085514 2.59271853 2.58530826]","[17.31097984 17.34853231 17.39829908 17.45868116 17.52760919 17.60260069
 17.6810929  17.76093594 17.840817   17.92039806 18.00004383]"
"[2.58122611 2.6507403  2.71192913 2.76266293 2.80127238 2.82697573
 2.84023587 2.84287158 2.83791473 2.82940878 2.82244046]","[17.56186295 17.60123298 17.65259407 17.71430228 17.78424326 17.85989917
 17.93871703 18.01862776 18.09845546 18.17799896 18.25768061]"
"[2.80630231 2.8744009  2.93377556 2.98234696 3.01852793 3.04169797
 3.05256699 3.05324177 3.04702617 3.03820389 3.03211223]","[17.63582039 17.67759193 17.73104021 17.7944645  17.86569269 17.9421647
 18.02135189 18.10130851 18.18105248 18.26056205 18.340308  ]"
"[2.96058655 3.02746049 3.08529515 3.13205145 3.166211   3.1872892
 3.19620033 3.19528419 3.18806286 3.17901984 3.17371701]","[17.70862007 17.75232617 17.80743747 17.87221146 17.94443138 18.02150806
 18.10094279 18.18090114 18.26056342 18.34004772 18.41984209]"
"[3.19097567 3.25568379 3.31084043 3.35447852 3.38519788 3.40274283
 3.40836567 3.40478523 3.39588047 3.38648093 3.38257356]","[17.84683418 17.8936881  17.95147993 18.01839435 18.09214417 18.17010407
 18.24984447 18.3297342  18.40923002 18.48867017 18.56852775]"
"[3.42140865 3.48248214 3.53308927 3.57156479 3.59718392 3.61046743
 3.61320531 3.60823414 3.59916193 3.59025187 3.58658089]","[17.87048912 17.92198845 17.98380058 18.05381588 18.12950177 18.20831716
 18.28822467 18.36805001 18.44753003 18.52702671 18.60690491]"
"[3.54595542 3.60401209 3.65100008 3.6854082  3.70669093 3.71568895
 3.71464112 3.70684562 3.69626542 3.68730886 3.68475752]","[17.79788399 17.8527588  17.91736491 17.98946621 18.06648533 18.14590838
 18.22586262 18.3054681  18.3847634  18.46425018 18.54416644]"
"[3.64050436 3.69632101 3.74068904 3.77219084 3.79040058 3.79630563
 3.79231316 3.78191653 3.76934404 3.75945104 3.75785569]","[18.09276962 18.14992137 18.21635406 18.28977185 18.36757535 18.44728926
 18.52715257 18.60646224 18.685466   18.76483419 18.84474772]"
"[3.76781511 3.82010172 3.86045022 3.88786219 3.90251331 3.90592628
 3.90076677 3.89045001 3.87880951 3.86991597 3.86790186]","[18.2237854  18.28418351 18.35313428 18.42818361 18.50674829 18.58662188
 18.66642898 18.74575386 18.82490069 18.904391   18.98432349]"
"[3.86536264 3.91514707 3.95268914 3.97729006 3.9895371  3.99130155
 3.98540779 3.97520608 3.96423509 3.95596323 3.95342312]","[18.47071266 18.53318932 18.60370935 18.67973226 18.75871598 18.83865176
 18.91841425 18.99775651 19.07699903 19.15655948 19.2364936 ]"
"[4.03284454 4.07871753 4.11193308 4.13225482 4.14087892 4.14017281
 4.13318379 4.1231705  4.11322893 4.10589326 4.10254074]","[18.50035286 18.56575539 18.63841636 18.71570145 18.79517427 18.87513802
 18.95481978 19.03418868 19.11356679 19.19322292 19.27314389]"
"[4.12300253 4.16618231 4.19645742 4.21390611 4.22012268 4.21778808
 4.21009082 4.20023381 4.1910179  4.18433542 4.18045139]","[18.58969307 18.65690414 18.73084048 18.8088297  18.88853427 18.96847378
 19.04809435 19.12748381 19.20694914 19.28666479 19.3665676 ]"
"[4.21238565 4.25270586 4.27988831 4.29433227 4.29802497 4.29395119
 4.28544261 4.27566356 4.26714145 4.26114944 4.25688314]","[18.63249397 18.70145847 18.7765887  18.85519492 18.93506297 19.01493868
 19.09447988 19.17387932 19.25342145 19.33319328 19.4130782 ]"
"[4.3625412  4.398607   4.42127029 4.43152814 4.4319969  4.42600414
 4.41688016 4.40748378 4.3997632  4.39420554 4.38920395]","[18.84194183 18.91322352 18.98984204 19.06911278 19.1490756  19.22883797
 19.30831387 19.38775934 19.4673833  19.5471882  19.62702949]"
"[4.45698929 4.49015431 4.509787   4.51735945 4.5159453  4.50906591
 4.49995698 4.49113247 4.48400778 4.47850421 4.47269429]","[19.00905418 19.08173088 19.15918457 19.2387641  19.31872328 19.39841856
 19.47789734 19.55740818 19.63708831 19.71689795 19.79668327]"
"[4.56269932 4.5915528  4.60668483 4.60988688 4.60454481 4.5944254
 4.58295284 4.57277021 4.56530475 4.5602788  4.55527759]","[19.19452286 19.26901684 19.34747596 19.4273544  19.5071514  19.58650302
 19.66567546 19.74502188 19.82466834 19.90450845 19.98434785]"
"[4.65342617 4.67938471 4.69200235 4.69345627 4.68722785 4.67698245
 4.66592965 4.65640832 4.64946394 4.64441218 4.6384842 ]","[19.33018112 19.40573757 19.48464979 19.56458811 19.64432631 19.72366377
 19.80289589 19.88232433 19.96201888 20.04185817 20.12163113]"
"[4.71448612 4.73783001 4.74842795 4.74858712 4.74175655 4.73147667
 4.72077828 4.71176971 4.70521921 4.70015462 4.69355658]","[19.38988495 19.46629969 19.54551816 19.62547657 19.7051692  19.78450337
 19.86378401 19.94327223 20.02300076 20.10283946 20.18255688]"
"[4.80849123 4.82777536 4.8353337  4.83374642 4.82636207 4.81638077
 4.80635733 4.79788032 4.79132209 4.78570327 4.77871172]","[19.58701706 19.66456971 19.74415099 19.82410486 19.90375343 19.98312697
 20.06249585 20.14204343 20.22177264 20.3015746  20.38126284]"
