"[-0.70213926 -0.69756862 -0.6943365  -0.69233817 -0.69094957 -0.68971768
 -0.68844864 -0.68710638 -0.68571247 -0.68429278 -0.68286097]","[7.82365513 7.90352384 7.98345735 8.0634319  8.14341977 8.22341028
 8.30340021 8.38338895 8.46337681 8.54336421 8.6233514 ]"
"[-0.69869971 -0.69471127 -0.69228321 -0.69075883 -0.68953155 -0.68830115
 -0.6869887  -0.68560986 -0.68419806 -0.68277617 -0.68135386]","[7.82197952 7.90187854 7.98184076 8.06182604 8.14181662 8.22180715
 8.30179639 8.3817845  8.46177204 8.54175941 8.62174676]"
"[-0.69375587 -0.68977433 -0.68735689 -0.68584202 -0.68462247 -0.68339865
 -0.68209236 -0.68071963 -0.67931403 -0.67789844 -0.6764825 ]","[7.82207441 7.90197376 7.9819363  8.06192177 8.14191246 8.2219031
 8.30189243 8.38188065 8.4618683  8.54185578 8.62184325]"
"[-0.69375587 -0.68977514 -0.68735884 -0.68584466 -0.68462533 -0.68340151
 -0.68209515 -0.68072236 -0.67931673 -0.67790113 -0.6764852 ]","[7.82207441 7.9019738  7.98193638 8.06192185 8.14191255 8.22190319
 8.30189252 8.38188074 8.46186839 8.54185586 8.62184333]"
"[-0.69788623 -0.69387096 -0.69143276 -0.68990825 -0.68868426 -0.68745722
 -0.68614728 -0.68477023 -0.68335986 -0.68193929 -0.68051829]","[7.80608606 7.88598371 7.9659456  8.04593087 8.1259215  8.20591209
 8.28590136 8.36588951 8.44587707 8.52586446 8.60585184]"
"[-0.70467681 -0.70063416 -0.69818081 -0.69664738 -0.69541615 -0.69418156
 -0.69286336 -0.69147757 -0.69005822 -0.68862864 -0.68719863]","[7.81546688 7.89536312 7.97532453 8.05530963 8.13530015 8.21529062
 8.29527976 8.37526775 8.45525516 8.53524239 8.61522961]"
"[-0.69557589 -0.69152105 -0.68906921 -0.68754581 -0.68632768 -0.68510637
 -0.68380077 -0.68242698 -0.68101931 -0.67960129 -0.67818283]","[7.81853485 7.89843044 7.97839189 8.05837718 8.13836789 8.21835857
 8.29834791 8.37833611 8.45832373 8.53831116 8.61829859]"
"[-0.69557589 -0.69152616 -0.68908147 -0.68756228 -0.68634557 -0.68512424
 -0.68381822 -0.68244405 -0.68103619 -0.67961811 -0.67819969]","[7.81853485 7.89843069 7.97839235 8.05837773 8.13836846 8.21835914
 8.29834847 8.37833667 8.45832428 8.53831171 8.61829914]"
"[-0.69572222 -0.69168827 -0.68925284 -0.68773682 -0.68652021 -0.68529815
 -0.68399159 -0.68261725 -0.68120948 -0.67979163 -0.67837351]","[7.80040741 7.88030405 7.96026601 8.04025145 8.12024218 8.20023285
 8.28022217 8.36021037 8.44019798 8.52018542 8.60017285]"
"[-0.70095229 -0.6969255  -0.69448884 -0.69296652 -0.69174188 -0.69051176
 -0.68919756 -0.68781593 -0.68640106 -0.68497615 -0.68355098]","[7.81673861 7.89663563 7.97659756 8.05658288 8.13657349 8.21656403
 8.29655323 8.3765413  8.45652879 8.5365161  8.6165034 ]"
"[-0.69636482 -0.69238746 -0.68997893 -0.68846813 -0.68724769 -0.68602034
 -0.68470973 -0.68333274 -0.68192316 -0.68050384 -0.67908436]","[7.83361721 7.91351674 7.99347955 8.0734651  8.15345578 8.23344636
 8.31343562 8.39342377 8.47341135 8.55339876 8.63338617]"
"[-0.69826335 -0.69431523 -0.69191512 -0.69040169 -0.68917548 -0.6879428
 -0.68662801 -0.68524769 -0.68383514 -0.68241294 -0.68099055]","[7.8583951  7.93829612 8.01825921 8.09824471 8.1782353  8.2582258
 8.33821499 8.41820309 8.49819061 8.57817797 8.65816533]"
"[-0.70652783 -0.70256844 -0.70015095 -0.69862165 -0.6973823  -0.69613826
 -0.6948128  -0.69342188 -0.69199859 -0.6905655  -0.68913208]","[7.87367821 7.95357869 8.03354126 8.11352646 8.19351685 8.27350717
 8.35349619 8.4334841  8.51347143 8.5934586  8.67344576]"
"[-0.70933938 -0.70543046 -0.70303901 -0.70151466 -0.70027028 -0.69901885
 -0.69768679 -0.69629054 -0.69486278 -0.69342561 -0.69198831]","[7.89529228 7.97519528 8.05515867 8.13514397 8.21513428 8.29512449
 8.3751134  8.45510121 8.53508847 8.61507556 8.69506265]"
"[-0.7055372  -0.70169206 -0.69933088 -0.69781554 -0.69657236 -0.69532156
 -0.69399176 -0.69259926 -0.69117604 -0.6897437  -0.68831127]","[7.90536594 7.9852721  8.06523642 8.1452219  8.22521224 8.30520246
 8.3851914  8.46517928 8.54516662 8.6251538  8.70514097]"
"[-0.69913107 -0.6953846  -0.69307296 -0.69157387 -0.69033388 -0.68908472
 -0.68775879 -0.68637239 -0.68495656 -0.68353209 -0.68210767]","[7.93109989 8.01101081 8.09097664 8.17096244 8.25095283 8.33094307
 8.41093208 8.49092007 8.57090754 8.65089485 8.73088217]"
"[-0.70744824 -0.70382333 -0.70156077 -0.70006194 -0.69880318 -0.69753306
 -0.69618948 -0.69478873 -0.69336038 -0.69192411 -0.69048806]","[7.99199295 8.07190959 8.15187691 8.23186273 8.31185282 8.39184274
 8.47183145 8.55181919 8.63180644 8.71179354 8.79178065]"
"[-0.70559859 -0.70206141 -0.69982686 -0.69832727 -0.69706097 -0.69578549
 -0.69444012 -0.69303989 -0.69161302 -0.69017836 -0.68874378]","[8.04251671 8.12243739 8.20240555 8.28239137 8.36238134 8.44237117
 8.52235986 8.6023476  8.68233488 8.76232201 8.84230915]"
"[-0.70607483 -0.70267231 -0.7004969  -0.69900678 -0.69773104 -0.69644424
 -0.69509107 -0.69368645 -0.69225704 -0.69082055 -0.68938429]","[8.11011219 8.19003882 8.27000869 8.34999471 8.42998453 8.50997418
 8.58996273 8.6699504  8.74993763 8.82992473 8.90991184]"
"[-0.68058997 -0.67751891 -0.67552307 -0.67409979 -0.67284284 -0.67156654
 -0.67023002 -0.66884933 -0.66744829 -0.66604203 -0.66463668]","[8.25171471 8.33165494 8.41162964 8.4916169  8.57160703 8.65159684
 8.73158568 8.81157376 8.8915615  8.97154914 9.05153679]"
